close,open,volume,MACD,ATR,USDollarIndex,FederalFundRate
1145.68,1137.31,843363840.00,1.97,9.24,76.84,0.11
1148.46,1145.68,825781056.00,1.95,9.32,76.76,0.11
1136.03,1147.72,1365523456.00,0.06,10.11,77.20,0.12
1150.23,1136.03,903436160.00,0.49,10.67,77.53,0.13
1138.04,1147.95,941377920.00,-1.01,11.86,78.36,0.13
1116.48,1138.68,1367236096.00,-4.85,13.45,78.43,0.12
1091.76,1115.49,1356983808.00,-10.33,14.42,78.27,0.11
1096.78,1092.40,954298048.00,-12.74,13.88,78.20,0.12
1092.17,1095.80,1046748544.00,-14.30,14.37,78.50,0.12
1097.50,1091.94,1183793920.00,-13.94,15.16,78.72,0.12
1084.53,1096.93,1118686592.00,-14.71,15.92,78.93,0.12
1073.87,1087.61,1494524672.00,-15.80,17.04,79.49,0.12
1089.19,1073.89,922765888.00,-13.70,17.60,79.19,0.14
1103.32,1090.05,1049221120.00,-9.83,17.71,79.00,0.14
1097.28,1100.67,970571200.00,-7.59,17.29,79.41,0.13
1063.11,1097.25,1331675904.00,-10.08,19.28,80.00,0.14
1066.19,1064.12,1367042304.00,-10.61,19.68,80.25,0.13
1056.74,1065.51,979804096.00,-11.47,19.68,80.38,0.13
1070.52,1060.06,1066723776.00,-9.50,19.79,79.77,0.13
1068.13,1069.68,886968576.00,-7.90,18.91,80.04,0.12
1078.47,1067.10,929507776.00,-4.97,18.42,79.99,0.12
1075.51,1075.95,1172220288.00,-3.06,18.72,80.24,0.12
1094.87,1079.13,945259648.00,0.99,19.18,79.64,0.13
1099.51,1096.14,892725312.00,4.27,18.45,80.47,0.12
1106.75,1099.03,828043008.00,7.22,17.67,80.92,0.12
1109.17,1105.49,1055968768.00,9.18,16.72,80.53,0.13
1108.01,1110.00,834775232.00,9.94,16.11,80.56,0.12
1094.60,1107.49,913133440.00,8.32,16.08,80.92,0.12
1105.24,1095.89,872927936.00,8.35,16.26,80.77,0.11
1102.94,1101.24,982649600.00,7.73,15.17,80.74,0.12
1104.49,1103.10,1036997312.00,7.22,14.24,80.35,0.13
1115.71,1105.36,835401728.00,8.01,14.02,80.72,0.14
1118.31,1117.01,938340160.00,8.47,12.97,80.47,0.14
1118.79,1119.36,831691456.00,8.40,12.59,80.01,0.15
1122.97,1119.12,816981184.00,8.46,11.71,80.55,0.16
1138.70,1125.12,867776448.00,10.05,11.77,80.44,0.17
1138.50,1138.40,766191488.00,10.46,10.64,80.43,0.15
1140.45,1137.56,1001332992.00,10.36,10.93,80.56,0.14
1145.61,1140.22,1005902592.00,10.33,10.75,80.40,0.14
1150.24,1143.96,851360320.00,10.25,10.72,80.26,0.15
1149.99,1151.71,901524096.00,9.51,10.69,79.80,0.17
1150.51,1148.53,814105664.00,8.46,10.20,80.23,0.20
1159.46,1150.83,904138304.00,8.33,10.06,79.67,0.20
