close,open,volume,MACD,ATR,USDollarIndex,TIBOR
9808.99,9777.64,1175844480.00,-82.76,147.70,75.04,0.19
9870.73,9904.68,1303520384.00,-63.69,151.23,74.99,0.19
9871.68,9890.18,1227304064.00,-47.16,154.20,75.07,0.19
9804.49,9921.45,1235900800.00,-41.68,152.87,75.67,0.19
9770.31,9793.19,1229316352.00,-39.09,152.07,75.29,0.19
9791.18,9784.14,1408334208.00,-31.35,147.06,74.90,0.19
9729.93,9834.58,1387038592.00,-31.18,145.04,75.28,0.19
9676.80,9723.23,1705750656.00,-34.67,145.39,75.06,0.19
9549.47,9691.86,2030167808.00,-49.65,143.31,75.26,0.19
9497.68,9460.21,1631722880.00,-61.30,140.98,75.60,0.19
9401.58,9511.00,1364746496.00,-75.77,127.73,75.11,0.19
9441.64,9381.90,1451873408.00,-73.69,128.47,74.26,0.19
9383.24,9354.80,1466017920.00,-73.75,127.01,74.77,0.19
9081.52,9257.20,1763501568.00,-106.04,139.48,74.90,0.19
9345.55,9189.17,1856526464.00,-84.38,150.76,74.81,0.19
9572.20,9281.82,2128482176.00,-34.62,162.80,74.44,0.19
9608.94,9551.79,1672619648.00,5.98,164.90,74.63,0.18
9977.67,9707.02,1920395264.00,81.08,180.16,74.80,0.18
10022.59,10019.24,1799817600.00,132.34,182.59,75.77,0.17
10167.60,10131.90,1643240192.00,178.45,190.11,75.75,0.17
10140.47,10079.81,1500099840.00,196.53,186.92,76.22,0.17
10004.72,10048.94,1489585024.00,181.80,186.74,76.01,0.17
9862.82,9964.05,1620369152.00,146.06,187.17,76.01,0.17
10107.87,9958.00,2220340224.00,148.09,195.68,76.53,0.17
10105.68,10126.61,1612796032.00,141.78,195.96,76.32,0.16
10083.48,10053.45,1598789248.00,127.71,195.28,76.91,0.16
10177.41,10179.33,2252001280.00,124.05,195.74,76.90,0.16
10163.80,10199.92,1481596672.00,113.08,180.70,77.75,0.16
10142.05,10110.64,1517677312.00,96.82,170.97,77.71,0.16
10183.47,10196.71,1204127872.00,85.93,152.00,78.08,0.17
10378.03,10256.00,1718827648.00,98.33,156.67,78.28,0.17
10536.92,10413.37,1442340736.00,119.91,143.22,77.73,0.17
10494.71,10546.97,829298880.00,120.16,139.69,77.64,0.17
10634.23,10521.81,1062495424.00,129.95,137.99,77.65,0.17
10638.06,10611.85,1224448256.00,127.60,137.84,77.83,0.16
10546.44,10707.51,1415320704.00,105.28,138.31,77.89,0.16
10654.79,10609.34,1043552640.00,96.90,134.48,77.51,0.16
10681.83,10719.44,1662044672.00,87.10,126.71,77.63,0.16
10731.45,10709.55,1818097152.00,79.61,126.03,77.47,0.16
10681.66,10742.75,1826421504.00,61.08,130.27,77.99,0.16
10798.32,10743.30,2117561344.00,57.72,130.29,77.48,0.16
10879.14,10770.35,1928058752.00,59.33,133.53,77.00,0.16
10735.03,10795.48,2500468224.00,35.13,134.48,76.84,0.16
10907.68,10778.07,2673349376.00,36.37,141.73,76.76,0.16
10982.10,10917.41,2529261056.00,40.87,135.21,77.20,0.16
10855.08,10887.61,1865634304.00,21.37,136.68,77.11,0.16
10764.90,10866.83,1746771584.00,-7.49,140.04,77.53,0.16
10737.52,10834.91,1464145280.00,-32.67,138.48,78.36,0.16
10868.41,10704.79,1768929920.00,-33.96,149.27,78.43,0.16
10590.55,10740.21,1874131840.00,-72.29,162.06,78.27,0.16
10512.69,10478.31,1398151808.00,-106.15,164.05,78.20,0.16
10325.28,10506.15,1753702400.00,-149.16,171.57,78.50,0.16
10252.08,10344.07,1394999424.00,-180.73,172.59,78.72,0.16
10414.29,10309.73,1679665408.00,-173.03,177.83,78.93,0.16
10198.04,10308.05,1567608192.00,-189.02,183.35,79.49,0.16
10205.02,10212.36,1619375360.00,-190.10,180.01,79.19,0.16
10371.09,10310.98,1420339072.00,-161.04,183.02,79.00,0.16
10404.33,10428.12,1542617856.00,-131.20,176.28,79.41,0.16
10355.98,10434.52,1645276800.00,-112.55,180.25,80.00,0.16
10057.09,10162.34,1719801984.00,-133.61,188.72,80.25,0.16
9951.82,10007.47,1373998592.00,-153.45,189.01,80.38,0.16
9932.90,9876.61,1349560576.00,-160.09,185.66,79.77,0.16
9963.99,10024.26,1270069248.00,-151.38,177.10,80.04,0.16
10092.19,10085.35,1359844864.00,-120.76,162.48,80.24,0.16
10013.30,10097.82,973430208.00,-104.17,157.55,80.38,0.16
10034.25,10044.53,869725312.00,-84.27,143.80,79.64,0.16
10306.83,10161.72,1271194880.00,-31.01,154.57,80.47,0.16
10335.69,10324.98,1117779968.00,9.31,143.48,80.92,0.16
10123.58,10334.40,1294716800.00,8.64,144.52,80.53,0.16
10400.47,10302.07,1154236032.00,44.70,161.04,80.56,0.16
10352.10,10327.64,1214964864.00,60.28,155.95,80.92,0.16
10198.83,10205.15,1252361088.00,48.68,166.09,80.77,0.16
10101.96,10256.10,1281622784.00,27.74,167.62,80.74,0.16
10126.03,10107.08,1132035072.00,17.42,150.93,80.35,0.16
10172.06,10128.73,1083526784.00,17.05,149.28,80.72,0.16
10221.84,10199.19,1040453824.00,23.39,149.22,80.47,0.16
10253.14,10193.95,1206127360.00,31.18,147.11,80.01,0.16
10145.72,10255.69,1263329408.00,21.69,146.66,80.55,0.16
10368.96,10254.61,1298943232.00,44.04,155.50,80.44,0.16
10585.92,10538.12,1405230976.00,84.25,167.57,80.43,0.16
10567.65,10567.32,1100775808.00,103.35,151.71,80.56,0.16
10563.92,10555.85,1048254272.00,109.83,150.71,80.40,0.16
