close,open,volume,MACD,ATR,close,close
3560.72,3568.28,5696391200,-22.63,76.87,76.9,1.16
3480.15,3571.05,6328620100,-34.87,76.02,77.75,1.17
3391.74,3450.05,6611101500,-52.71,73.53,77.71,1.17
3396.62,3386.33,4832980500,-61.09,71.3,78.08,1.16
3305.54,3402.23,5394268500,-75.22,75.68,78.28,1.15
3336.48,3303.73,4806450400,-76.46,75.32,77.88,1.16
3438.82,3346.76,6437782300,-60.27,74.82,77.73,1.16
3424.78,3434.33,4691457600,-48.72,74.25,77.64,1.15
3478.43,3432.82,5537539000,-31.93,73.16,77.65,1.15
3500.74,3481.9,5553576500,-16.67,70.97,77.83,1.15
3558.86,3503.82,8842937000,1.44,71.45,77.89,1.15
3575.68,3561.37,6924189000,15.12,70.79,77.92,1.15
3535.23,3592.47,6610108000,17.95,66.14,77.51,1.12
3564.04,3545.19,8580964100,22.64,68.84,77.63,1.12
3541.73,3558.7,7847312500,21.67,67.95,77.47,1.12
3471.46,3543.16,8035003700,11.04,67.9,77.99,1.08
3480.13,3456.91,6079025300,4.95,65.1,77.48,1.06
3482.05,3593.11,8998017200,1.16,70.76,77.02,1.05
3534.92,3477.84,9374327800,5.51,70.03,77,1.03
3421.14,3448.29,11245790100,-6.55,75.21,76.84,1.09
3469.05,3433.47,8335325200,-7.61,71.59,76.76,1.05
3482.74,3472.52,7254310200,-6.08,73.03,77.2,1.03
3500.68,3471.78,8285430700,-2.43,71.49,77.11,1.03
3507.48,3506.81,7488323200,0.92,70.14,77.53,1.03
3394.43,3512.25,9249514600,-11.38,74.76,78.36,1.03
3408.57,3397.04,7059506800,-16.59,76.42,78.43,1.03
3366.2,3364.45,8893340400,-24.25,80.2,78.27,1.04
3328.01,3340.01,5684917100,-32.47,77.79,78.2,1.19
3242.8,3328.11,6175223100,-46.52,82.89,78.5,1.2
3198.57,3243.04,5269139400,-58.17,80.46,78.72,1.32
3206.57,3195.29,4699071600,-60.89,80.21,78.93,1.36
3204.16,3190.32,5026261300,-59.06,76.16,79.49,1.36
3152.71,3198.23,5700138000,-60.61,75.44,79.19,1.35
3146.19,3170.78,5013003300,-58.32,71.84,79,1.36
3230.72,3160.71,6479889400,-41.99,77.42,79.41,1.36
3218.8,3206.43,5897272600,-29.93,77.47,80,1.36
3153.09,3147.72,5910584500,-27.97,80.73,80.25,1.36
3150.99,3152.25,3735595100,-24.27,81.24,80.38,1.36
3169.19,3147.76,3595315800,-17.02,74.59,79.77,1.41
3214.13,3195.14,3421989400,-4.47,73.5,80.04,1.5
3220.4,3216.69,3579105200,5.8,67.49,79.99,2.5
3251.28,3232.88,3405823800,17.25,66.53,80.24,2.25
3233.35,3248.95,3828377200,22.57,60.11,80.56,1.43
3198.63,3225.39,4274289800,21.56,60.73,80.92,1.43
3244.48,3177.08,4998943700,26.88,62.72,80.77,1.44
3292.13,3252.15,6758661700,36.05,61.09,80.74,1.45
3281.67,3286.1,5210728800,39.67,56.78,80.35,1.43
3324.42,3290.01,6050452000,46.3,55.34,80.72,1.43
3311.24,3327.1,5703437400,47.24,48.46,80.47,1.42
3335.08,3313.02,6062273200,49.18,47.72,80.01,1.41
3250.57,3338.67,6934681000,37.7,48.58,80.55,1.4
3259.76,3253.16,4562913800,30.28,48.46,80.44,1.38
3286.18,3268.4,4154087600,27.94,48.56,80.43,1.38
3305.86,3285.62,5419948600,27.96,50.08,80.56,1.37
3279.69,3304.04,4642107900,23.56,51.66,80.4,1.36
3276.71,3282.2,4748775400,19.52,53.02,80.26,1.36
3233.13,3277.31,3995734400,10.69,54.66,79.8,1.34
3183.18,3231.22,3784430400,-1.51,53.41,80.23,1.34
3203.97,3183.78,3084778000,-6.16,50.24,79.67,1.34
3273.92,3214.22,4580093400,0.46,51.69,79.75,1.33
3267.56,3277.88,4694801300,4.05,52.5,80.31,1.32
3293.87,3270.98,4606218700,9.72,52.25,80.77,1.32
3302.63,3297.82,4943946200,14.14,51.2,80.53,1.32
3275.57,3305.55,4653953600,12.93,50.8,80.88,1.31
3276.67,3282.05,4454796600,11.82,45.56,81.91,1.31
3229.13,3270.39,4498428500,4.6,46.78,82.15,1.31
